tx,ty,tz,rx,ry,rz
0.395897,0.395897,0.395897,0.0248642,114.851,114.851
7.05642,7.05642,7.05642,0.566459,106.457,106.454
0.397928,0.397928,0.397928,0.0252033,95.0432,95.0432
0.391909,0.391909,0.391909,0.0466504,84.814,84.8139
0.370877,0.370877,0.370877,0.10508,74.8382,74.8381
0.384278,0.384278,0.384278,0.0869873,65.3272,65.3272
0.394255,0.394255,0.394255,0.0701481,55.6628,55.6628
0.33453,0.33453,0.33453,0.281534,46.2765,46.2756
0.388186,0.388186,0.388186,0.14851,37.0219,37.0216
0.402396,0.402396,0.402396,0.12995,27.8405,27.8402
0.405895,0.405895,0.405895,0.172183,18.6926,18.6917
0.395951,0.395951,0.395951,0.448523,9.78129,9.77095
0.427109,0.427109,0.427109,0.115942,1.9898,1.98642
0.352976,0.352976,0.352976,0.864825,1.02235,0.556703
0.404547,0.404547,0.404547,0.153741,0.324223,0.288011
0.35099,0.35099,0.35099,0.325892,0.427159,0.301258
0.357815,0.357815,0.357815,0.226554,0.2894,0.211061
0.39002,0.39002,0.39002,0.0945923,0.176785,0.15975
0.391584,0.391584,0.391584,0.0733523,0.107529,0.0942298
0.37158,0.37158,0.37158,0.108126,0.270646,0.263062
0.353265,0.353265,0.353265,0.136298,0.41591,0.411858
0.344818,0.344818,0.344818,0.143783,0.191545,0.191393
0.395511,0.395511,0.395511,0.0271891,0.169936,0.17032
0.39749,0.39749,0.39749,0.0232452,0.245353,0.245734
0.344864,0.344864,0.344864,0.150367,0.564443,0.574203
