tx,ty,tz,rx,ry,rz
48.0769,48.0769,48.0769,89.9918,89.9903,115.491
56.1837,56.1837,56.1837,91.2041,91.3707,104.202
52.2905,52.2905,52.2905,89.9733,89.9705,95.2379
52.1374,52.1374,52.1374,89.9156,89.9087,85.3045
51.0539,51.0539,51.0539,90.1832,90.1961,74.853
47.916,47.916,47.916,90.3112,90.3289,64.987
43.6634,43.6634,43.6634,90.6909,90.7191,55.6511
38.2386,38.2386,38.2386,90.2831,90.2907,46.3808
31.4702,31.4702,31.4702,89.9048,89.903,36.8609
24.4172,24.4172,24.4172,89.7689,89.7664,27.4979
15.7761,15.7761,15.7761,89.7524,89.7512,18.2899
8.20208,8.20208,8.20208,89.2553,89.2542,8.8918
0.363496,0.363496,0.363496,177.813,177.111,1.89021
0.448549,0.448549,0.448549,89.2429,89.2425,0.387336
0.724609,0.724609,0.724609,89.6807,89.6806,0.150449
0.689596,0.689596,0.689596,89.8485,89.8485,0.081478
1.0171,1.0171,1.0171,89.8588,89.8588,0.0523835
0.272069,0.272069,0.272069,89.5345,89.5352,0.286939
0.997953,0.997953,0.997953,89.6885,89.6891,0.262443
0.466287,0.466287,0.466287,89.5527,89.551,0.437077
0.43939,0.43939,0.43939,89.6785,89.6765,0.492989
0.544861,0.544861,0.544861,90.049,90.0487,0.34419
0.0689647,0.0689647,0.0689647,90.1132,90.1127,0.240308
4.90119,4.90119,4.90119,88.9482,88.9578,1.55286
2.33917,2.33917,2.33917,89.8055,89.8084,0.592813
