tx,ty,tz,rx,ry,rz
0.456541,0.456541,0.456541,89.9832,89.9833,0.132359
6.64622,6.64622,6.64622,88.3468,88.3509,2.36886
1.00231,1.00231,1.00231,89.9752,89.9753,0.209038
1.31886,1.31886,1.31886,90.1052,90.1048,0.257136
0.563108,0.563108,0.563108,89.8706,89.8701,0.277671
0.337417,0.337417,0.337417,89.6113,89.6093,0.493949
0.398623,0.398623,0.398623,89.2521,89.2509,0.461095
0.471442,0.471442,0.471442,89.5687,89.5688,0.205131
0.442391,0.442391,0.442391,89.8302,89.8301,0.156707
0.0985808,0.0985808,0.0985808,89.8429,89.8427,0.160682
0.746396,0.746396,0.746396,89.6551,89.6548,0.266463
0.223074,0.223074,0.223074,89.4393,89.439,0.298899
0.363496,0.363496,0.363496,177.813,177.111,1.89021
0.448549,0.448549,0.448549,89.2429,89.2425,0.387336
0.724609,0.724609,0.724609,89.6807,89.6806,0.150449
0.689596,0.689596,0.689596,89.8485,89.8485,0.081478
1.0171,1.0171,1.0171,89.8588,89.8588,0.0523835
0.272069,0.272069,0.272069,89.5345,89.5352,0.286939
0.997953,0.997953,0.997953,89.6885,89.6891,0.262443
0.466287,0.466287,0.466287,89.5527,89.551,0.437077
0.43939,0.43939,0.43939,89.6785,89.6765,0.492989
0.544861,0.544861,0.544861,90.049,90.0487,0.34419
0.0689647,0.0689647,0.0689647,90.1132,90.1127,0.240308
4.90119,4.90119,4.90119,88.9482,88.9578,1.55286
2.33917,2.33917,2.33917,89.8055,89.8084,0.592813
