tx,ty,tz,rx,ry,rz
0.430398,0.430398,0.430398,60.0163,60.0374,2.04629
0.387042,0.387042,0.387042,56.3452,56.3686,2.00766
0.364772,0.364772,0.364772,52.0601,52.0867,1.97576
0.415863,0.415863,0.415863,45.4635,45.4977,1.99671
0.415051,0.415051,0.415051,40.4969,40.5365,1.96826
0.434357,0.434357,0.434357,34.8936,34.9425,1.97841
0.404336,0.404336,0.404336,30.8178,30.8761,1.99655
0.389546,0.389546,0.389546,26.3,26.3675,1.95691
0.423425,0.423425,0.423425,20.2275,20.3236,2.01658
0.441577,0.441577,0.441577,14.6709,14.8038,2.00102
0.425339,0.425339,0.425339,10.17,10.3642,2.00742
0.414009,0.414009,0.414009,5.52573,5.86678,1.97419
0.427109,0.427109,0.427109,0.115942,1.9898,1.98642
0.392291,0.392291,0.392291,3.81294,4.30503,2.00017
0.451286,0.451286,0.451286,10.6405,10.817,1.95739
0.418183,0.418183,0.418183,14.6046,14.7343,1.97279
0.448088,0.448088,0.448088,20.5439,20.6322,1.94969
0.431745,0.431745,0.431745,25.0275,25.1015,1.99087
0.398283,0.398283,0.398283,29.0151,29.0801,2.03486
0.431106,0.431106,0.431106,35.0077,35.0578,2.00619
0.409535,0.409535,0.409535,39.3317,39.3727,1.96107
0.419087,0.419087,0.419087,44.6406,44.6763,2.01068
0.380418,0.380418,0.380418,48.4415,48.4721,1.99043
0.397596,0.397596,0.397596,53.9632,53.9879,1.97134
0.410844,0.410844,0.410844,59.3731,59.393,1.96213
