tx,ty,tz,rx,ry,rz
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
0.388865,0.388865,0.388865,9.60793,9.73754,1.59095
