tx,ty,tz,rx,ry,rz
0.395897,0.395897,0.395897,34.0098,112.126,115.839
7.05642,7.05642,7.05642,122.231,80.2117,104.456
0.397928,0.397928,0.397928,121.987,85.2124,99.0433
0.391909,0.391909,0.391909,35.0653,88.2847,89.9093
0.370877,0.370877,0.370877,105.882,94.4544,76.8417
0.384278,0.384278,0.384278,65.9676,80.0737,67.3302
0.394255,0.394255,0.394255,79.9939,89.201,55.8814
0.33453,0.33453,0.33453,69.9818,84.5484,48.4757
0.388186,0.388186,0.388186,59.9836,69.1556,37.317
0.402396,0.402396,0.402396,52.2681,56.1065,21.4259
0.405895,0.405895,0.405895,47.1768,50.0173,19.5647
0.395951,0.395951,0.395951,0.448523,2.80674,2.77094
0.427109,0.427109,0.427109,0.115942,0.993177,0.986387
0.352976,0.352976,0.352976,0.162453,0.567529,0.556703
0.404547,0.404547,0.404547,0.153741,0.324223,0.288011
0.35099,0.35099,0.35099,0.325892,0.427159,0.301258
0.357815,0.357815,0.357815,0.226554,0.2894,0.211061
0.39002,0.39002,0.39002,0.0945923,0.176785,0.15975
0.391584,0.391584,0.391584,0.0733523,0.107529,0.0942298
0.37158,0.37158,0.37158,0.108126,0.749538,0.746961
0.353265,0.353265,0.353265,0.136298,0.606492,0.603985
0.344818,0.344818,0.344818,0.143783,0.84384,0.844019
0.395511,0.395511,0.395511,0.0271891,1.1692,1.16926
0.39749,0.39749,0.39749,0.0232452,1.24509,1.24517
0.344864,0.344864,0.344864,0.150367,0.446985,0.45962
