tx,ty,tz,rx,ry,rz
0.404336,0.404336,0.404336,0.18099,0.751106,0.729104
0.389546,0.389546,0.389546,0.309323,0.754682,0.695107
0.423425,0.423425,0.423425,1.23445,1.09171,1.60855
0.441577,0.441577,0.441577,1.24301,0.688047,1.03536
0.425339,0.425339,0.425339,0.387975,1.96923,1.9927
0.414009,0.414009,0.414009,0.525589,0.526215,0.0258714
0.427109,0.427109,0.427109,0.115942,0.993177,0.986387
0.392291,0.392291,0.392291,0.199184,1.01522,1.00014
0.451286,0.451286,0.451286,0.409597,1.08553,1.0427
0.418183,0.418183,0.418183,0.395933,0.396748,0.0272665
0.448088,0.448088,0.448088,0.473948,0.81406,0.688977
0.431745,0.431745,0.431745,1.01642,0.193423,1.03277
0.398283,0.398283,0.398283,0.0169566,0.762637,0.762471
