tx,ty,tz,rx,ry,rz
48.0769,48.0769,48.0769,77.5677,119.991,115.491
56.1837,56.1837,56.1837,100.033,51.3876,104.202
52.2905,52.2905,52.2905,91.5942,59.9685,93.2378
52.1374,52.1374,52.1374,91.4406,34.1135,88.3277
51.0539,51.0539,51.0539,83.0224,58.2021,74.8526
47.916,47.916,47.916,81.1348,59.4713,64.0724
43.6634,43.6634,43.6634,67.6481,45.7406,55.2849
38.2386,38.2386,38.2386,53.4894,30.3567,45.4008
31.4702,31.4702,31.4702,51.9043,31.8132,42.8722
24.4172,24.4172,24.4172,36.6245,25.7845,27.5123
15.7761,15.7761,15.7761,20.3339,2.06835,20.3896
8.20208,8.20208,8.20208,3.31179,1.93683,3.07856
0.363496,0.363496,0.363496,55.8304,56.1557,7.89038
0.448549,0.448549,0.448549,0.451641,0.247579,0.387336
0.724609,0.724609,0.724609,0.692343,0.680285,0.150449
0.689596,0.689596,0.689596,0.169446,0.159592,0.081478
1.0171,1.0171,1.0171,1.00936,0.153127,1.00029
0.272069,0.272069,0.272069,0.562887,0.576123,0.286939
0.997953,0.997953,0.997953,1.06236,0.705891,0.830376
0.466287,0.466287,0.466287,0.62914,0.631259,0.437077
0.43939,0.43939,0.43939,1.56595,0.719397,1.43715
0.544861,0.544861,0.544861,0.659496,0.954498,1.15913
0.0689647,0.0689647,0.0689647,1.12856,1.11794,0.240308
4.90119,4.90119,4.90119,1.339,1.33859,2.47444
2.33917,2.33917,2.33917,0.546896,0.684962,0.836211
