tx,ty,tz,rx,ry,rz
0.456541,0.456541,0.456541,1.36982,1.36978,0.910773
0.664622,0.664622,0.664622,1.33321,1.33259,2.34853
1.00231,1.00231,1.00231,1.06911,1.32019,0.883527
1.31886,1.31886,1.31886,0.591051,0.591284,1.85867
0.563108,0.563108,0.563108,0.438705,0.449469,1.32818
0.337417,0.337417,0.337417,0.576951,0.588411,1.62253
0.398623,0.398623,0.398623,0.298187,0.49757,0.461095
0.471442,0.471442,0.471442,1.85482,2.5064,2.19327
0.442391,0.442391,0.442391,1.02508,0.587102,1.15589
0.0985808,0.0985808,0.0985808,1.79516,1.26109,1.84497
0.746396,0.746396,0.746396,0.579358,0.577899,0.564666
0.223074,0.223074,0.223074,0.723244,0.621214,0.727649
0.427109,0.427109,0.427109,0.115942,0.993177,0.986387
0.448549,0.448549,0.448549,0.451641,0.247579,0.387336
0.724609,0.724609,0.724609,0.692343,0.680285,0.150449
0.689596,0.689596,0.689596,0.169446,0.159592,0.081478
1.0171,1.0171,1.0171,1.00936,0.153127,1.00029
0.272069,0.272069,0.272069,0.562887,0.576123,0.286939
0.997953,0.997953,0.997953,1.06236,0.705891,0.830376
0.466287,0.466287,0.466287,0.62914,0.631259,0.437077
0.43939,0.43939,0.43939,1.56595,0.719397,1.43715
0.544861,0.544861,0.544861,0.659496,0.954498,1.15913
0.0689647,0.0689647,0.0689647,1.12856,1.11794,0.240308
0.490119,0.490119,0.490119,1.339,1.33859,2.47444
0.233917,0.233917,0.233917,0.546896,0.684962,0.836211
,,,,,
