tx,ty,tz,rx,ry,rz
0.430398,0.430398,0.430398,0.227761,1.02298,1.04802
0.387042,0.387042,0.387042,0.745764,1.19501,1.0371
0.364772,0.364772,0.364772,2.11443,2.74809,3.4636
0.415863,0.415863,0.415863,0.956545,1.95956,2.01592
0.415051,0.415051,0.415051,0.515039,0.857436,0.704775
0.434357,0.434357,0.434357,0.116633,0.719382,0.713472
0.404336,0.404336,0.404336,0.18099,0.751106,0.729104
0.389546,0.389546,0.389546,0.309323,0.754682,0.695107
0.423425,0.423425,0.423425,1.23445,1.09171,1.60855
0.441577,0.441577,0.441577,1.24301,0.68805,1.03536
0.425339,0.425339,0.425339,0.387976,1.96923,1.9927
0.414009,0.414009,0.414009,0.525589,0.526215,0.0258714
0.427109,0.427109,0.427109,0.115942,0.993177,0.986387
0.392291,0.392291,0.392291,0.199184,1.01522,1.00014
0.451286,0.451286,0.451286,0.409597,1.08553,1.0427
0.418183,0.418183,0.418183,0.395933,0.396748,0.0272665
0.448088,0.448088,0.448088,0.473948,0.81406,0.688977
0.431745,0.431745,0.431745,1.01642,0.193423,1.03277
0.398283,0.398283,0.398283,0.0169506,0.762637,0.762471
0.431106,0.431106,0.431106,0.0679103,0.734433,0.737457
0.409535,0.409535,0.409535,0.828572,3.30541,3.30121
0.419087,0.419087,0.419087,1.54337,1.57416,2.01068
0.380418,0.380418,0.380418,2.33128,2.65679,3.46352
0.397596,0.397596,0.397596,1.00971,1.43431,1.05504
0.410844,0.410844,0.410844,0.798953,0.386436,0.699389
