Coarse,Kps,Proposed
0.194747,0.312171,0.273835,
0.258211,0.326121,0.301775,
0.206157,0.278913,0.248996,
0.188385,0.260926,0.230102,
0.215662,0.267121,0.24327,
0.249473,0.273002,0.253852,
0.296159,0.309289,0.281073,
0.332352,0.315588,0.280301,
0.361352,0.324238,0.276823,
0.413067,0.333517,0.284047,
0.373803,0.258798,0.298039,
0.288277,0.225987,0.225987,
0.168714,0.155254,0.155254,
0.165027,0.157695,0.152786,
0.17106,0.149021,0.149021,
0.16599,0.136638,0.136638,
0.156755,0.125313,0.125313,
0.225028,0.14623,0.14623,
0.20515,0.133994,0.133994,
0.236274,0.14307,0.14307,
0.240113,0.141783,0.141783,
0.226026,0.137351,0.137351,
0.17829,0.120769,0.120769,
0.171422,0.103868,0.103868,
0.175849,0.121851,0.111264,
