Coarse,Kps,Proposed
0.274489,0.373222,0.346226,
0.38728,0.356291,0.339194,
0.324527,0.337247,0.334649,
0.304858,0.32379,0.319677,
0.327762,0.330355,0.302223,
0.342858,0.334425,0.339976,
0.311179,0.343092,0.316092,
0.297013,0.340484,0.30839,
0.295644,0.332068,0.326825,
0.287769,0.316876,0.300628,
0.271476,0.312388,0.273555,
0.285212,0.328067,0.198275,
0.168714,0.346309,0.328129,
0.309779,0.339885,0.137771,
0.328653,0.343344,0.144967,
0.334532,0.333975,0.146008,
0.343086,0.330107,0.147833,
0.345221,0.322115,0.126923,
0.374367,0.317895,0.160043,
0.380959,0.307784,0.131826,
0.376766,0.293921,0.156591,
0.339533,0.307247,0.183744,
0.315573,0.313297,0.121827,
0.336558,0.330219,0.301912,
0.30178,0.359751,0.109356,
