Coarse,Kps,Proposed
0.274489,0.359758,0.148981
0.38728,0.345098,0.111509
0.324527,0.321294,0.154557
0.304858,0.306774,0.180494
0.327762,0.306626,0.134765
0.342858,0.30356,0.153655
0.311179,0.306218,0.125589
0.297013,0.317094,0.168946
0.295644,0.325202,0.164582
0.287769,0.324649,0.12792
0.271476,0.32553,0.104498
0.285212,0.329712,0.117981
0.168714,0.155254,0.129285
0.309779,0.339885,0.137771
0.328653,0.343344,0.144967
0.334532,0.333975,0.146008
0.343086,0.330107,0.147833
0.345221,0.322115,0.126923
0.374367,0.317895,0.160043
0.380959,0.307784,0.131826
0.376766,0.293921,0.156591
0.339533,0.307247,0.183744
0.315573,0.313297,0.121827
0.336558,0.330219,0.101912
0.30178,0.359751,0.109356
