Coarse,Kps,Proposed
0.22757,0.316177,0.104611
0.227544,0.31447,0.104132
0.225007,0.311835,0.208066
0.216423,0.317792,0.121145
0.201032,0.321799,0.113433
0.187154,0.318927,0.112757
0.183066,0.321756,0.112814
0.177003,0.320413,0.113703
0.172923,0.301447,0.163937
0.167599,0.280434,0.142773
0.167766,0.251508,0.174167
0.157509,0.208087,0.123048
0.147497,0.155254,0.129285
0.151607,0.187173,0.12699
0.169294,0.248676,0.141719
0.187574,0.276114,0.119935
0.201333,0.301076,0.125148
0.209425,0.311845,0.10749
0.206239,0.321179,0.124991
0.225002,0.318545,0.125124
0.240253,0.318495,0.182906
0.242232,0.31842,0.155898
0.238401,0.31527,0.164325
0.238922,0.313118,0.116374
0.244881,0.316059,0.113764
