Coarse,Kps,Proposed
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
0.242292,0.229933,0.111996,
