tx,ty,tz,rx,ry,rz
0.261726,0.261726,0.261726,137.423,48.0419,123.609
0.253729,0.253729,0.253729,47.7801,48.6673,8.97629
0.438832,0.438832,0.438832,19.9932,19.9851,2.88208
0.382375,0.382375,0.382375,14.3761,14.4076,4.59244
0.436951,0.436951,0.436951,8.1334,8.11936,3.88258
0.421344,0.421344,0.421344,6.08733,5.92719,4.55029
0.328148,0.328148,0.328148,93.6879,99.2219,43.1648
0.504245,0.504245,0.504245,6.01324,5.45166,4.69611
0.484396,0.484396,0.484396,12.1247,11.8271,4.45661
0.473064,0.473064,0.473064,14.9829,15.1656,2.50899
0.513189,0.513189,0.513189,20.3371,20.3739,1.21186
0.26493,0.26493,0.26493,61.6262,62.5584,12.245
0.333564,0.333564,0.333564,63.0368,62.8641,4.57451
