tx,ty,tz,rx,ry,rz
51.7956,51.7956,51.7956,61.2021,91.4074,112.16
53.8082,53.8082,53.8082,115.708,46.2636,97.504
52.3384,52.3384,52.3384,78.2679,99.8039,160.728
52.4677,52.4677,52.4677,71.0114,92.1654,69.1229
2183.64,2183.64,2183.64,42.1942,20.5178,136.389
3305,3305,3305,57.2894,108.67,79.8904
39.629,39.629,39.629,86.2479,122.147,117.162
37.1407,37.1407,37.1407,108.646,82.3073,143.618
31.5089,31.5089,31.5089,89.9478,90.323,35.3553
24.7347,24.7347,24.7347,94.1095,94.5822,11.9767
15.9228,15.9228,15.9228,90.338,89.3667,18.8982
8.2563,8.2563,8.2563,91.4366,91.4475,7.26099
0.351223,0.351223,0.351223,4.06657,3.39133,4.38017
0.461006,0.461006,0.461006,90.1558,90.0752,3.79512
0.720131,0.720131,0.720131,89.7967,89.7946,0.586862
0.689726,0.689726,0.689726,89.9574,89.9674,1.2316
0.953333,0.953333,0.953333,90.0712,89.9446,3.82178
0.257934,0.257934,0.257934,90.087,90.1046,1.82816
1.00254,1.00254,1.00254,89.688,89.7005,1.27648
0.487508,0.487508,0.487508,89.7636,89.7578,3.86605
0.399232,0.399232,0.399232,90.3278,90.0033,6.39655
0.615791,0.615791,0.615791,90.6638,90.6266,4.95422
0.0172045,0.0172045,0.0172045,89.9647,90.0103,6.23267
4.90393,4.90393,4.90393,88.7171,88.6779,7.61282
0.794606,0.794606,0.794606,83.3685,96.1358,82.0352
