tx,ty,tz,rx,ry,rz
0.80306,0.803.06,0.80306,24.3625,156.587,2.152
6.46874,6.46874,6.46874,92.3836,91.6074,1.4865
1.02617,1.02617,1.02617,88.3908,88.0696,8.38277
1.36366,1.36366,1.36366,89.0424,88.8456,5.64993
0.421191,0.421191,0.421191,89.4682,89.458,9.51244
0.284692,0.284692,0.284692,89.5386,89.411,5.16402
0.410585,0.410585,0.410585,89.3284,89.2757,4.31803
0.467266,0.467266,0.467266,89.286,89.2934,1.09375
0.447383,0.447383,0.447383,88.5819,88.6061,4.73261
0.427329,0.427329,0.427329,90.7083,90.6557,4.721
0.720062,0.720062,0.720062,89.843,89.8084,4.30345
0.23248,0.23248,0.23248,89.4444,89.4199,4.04359
0.351223,0.351223,0.351223,4.06657,3.39133,4.38017
0.461006,0.461006,0.461006,90.1558,90.0752,3.79512
0.720131,0.720131,0.720131,89.7967,89.7946,0.586862
0.689726,0.689726,0.689726,89.9574,89.9674,1.2316
0.953333,0.953333,0.953333,90.0712,89.9446,3.82178
0.257934,0.257934,0.257934,90.087,90.1046,1.82816
1.00254,1.00254,1.00254,89.688,89.7005,1.27648
0.487508,0.487508,0.487508,89.7636,89.7578,3.86605
0.399232,0.399232,0.399232,90.3278,90.0033,6.39655
0.615791,0.615791,0.615791,90.6638,90.6266,4.95422
0.0172045,0.0172045,0.0172045,89.9647,90.0103,6.23267
4.90393,4.90393,4.90393,88.7171,88.6779,7.61282
0.794606,0.794606,0.794606,83.3685,96.1358,2.0352
