tx,ty,tz,rx,ry,rz
0.429919,0.429919,0.429919,59.2671,59.4168,4.303
-0.244132,-0.244132,-0.244132,60.8135,49.5346,38.9448
-2.06846,-2.06846,-2.06846,39.3861,139.696,162.738
0.525262,0.525262,0.525262,45.9764,45.8902,2.69479
0.610235,0.610235,0.610235,43.0524,42.8055,6.93138
0.446086,0.446086,0.446086,34.9817,35.1271,4.48639
-0.261726,-0.261726,-0.261726,137.423,48.0419,123.609
0.253729,0.253729,0.253729,47.7801,48.6673,8.97629
0.438832,0.438832,0.438832,19.9932,19.9851,2.88208
0.382375,0.382375,0.382375,14.3761,14.4077,4.59244
0.436951,0.436951,0.436951,8.1334,8.11936,3.88258
0.421344,0.421344,0.421344,6.08733,5.92719,4.55029
0.328148,0.328148,0.328148,93.6879,99.2219,43.1648
0.504245,0.504245,0.504245,6.01324,5.45166,4.69611
0.484396,0.484396,0.484396,12.1247,11.8271,4.45661
0.473064,0.473064,0.473064,14.9829,15.1656,2.50899
0.513189,0.513189,0.513189,20.3371,20.3739,1.21186
0.26493,0.26493,0.26493,61.6262,62.5584,12.245
0.333564,0.333564,0.333564,63.0368,62.8641,4.57451
0.460441,0.460441,0.460441,53.8993,53.7588,4.5158
0.349026,0.349026,0.349026,38.1084,37.8761,4.86041
0.226403,0.226403,0.226403,40.6331,43.3592,14.5119
0.44865,0.44865,0.44865,48.431,48.4805,2.21546
0.402928,0.402928,0.402928,54.7524,54.5563,4.50342
0.0623944,0.0623944,0.0623944,52.2729,43.6231,61.5274
