tx,ty,tz,rx,ry,rz
2.16211,2.16211,2.16211,179.925,179.691,0.317157
1.70794,1.70794,1.70794,179.894,179.905,0.10513
1.7155,1.7155,1.7155,179.835,179.698,0.302458
1.974,1.974,1.974,179.99,179.556,0.44956
2.17608,2.17608,2.17608,179.85,179.492,0.502771
2.0011,2.0011,2.0011,179.875,179.767,0.216639
1.26421,1.26421,1.26421,179.646,179.639,0.207024
1.77492,1.77492,1.77492,179.378,179.278,0.452323
1.93667,1.93667,1.93667,179.389,179.28,0.42566
2.26712,2.26712,2.26712,179.359,179.326,0.238156
9.90522,9.90522,9.90522,62.1794,64.2455,17.9257
1.87533,1.87533,1.87533,3.51959,3.51637,0.161617
1.28492,1.28492,1.28492,1.39889,1.38692,0.186364
1.73597,1.73597,1.73597,0.780154,0.780492,0.242739
2.25132,2.25132,2.25132,0.172378,0.252142,0.198337
2.00258,2.00258,2.00258,0.0611547,0.197123,0.190345
1.90778,1.90778,1.90778,0.169702,0.174894,0.119001
1.90926,1.90926,1.90926,0.139258,0.160414,0.132462
1.96371,1.96371,1.96371,0.0781646,0.444129,0.442323
2.30311,2.30311,2.30311,0.111365,0.260355,0.258239
1.21273,1.21273,1.21273,0.0638841,0.418797,0.419239
0.788978,0.788978,0.788978,0.0646603,0.2895,0.291379
1.19127,1.19127,1.19127,0.0590438,0.445902,0.447569
1.19127,1.19127,1.19127,0.0590438,5.44498,5.44518
1.19127,1.19127,1.19127,0.0590438,10.4451,10.4452
