tx,ty,tz,rx,ry,rz
0.395646,0.395646,0.395646,0.019,0.457,0.462192
0.473602,0.473602,0.473602,1.009,0.629,0.870769
0.388036,0.388036,0.388036,0.038,0.067,0.0749651
0.394344,0.394344,0.394344,0.032,0.197,0.201853
0.415114,0.415114,0.415114,0.005,0.34,0.345164
0.402936,0.402936,0.402936,0.03,0.148,0.15224
0.388791,0.388791,0.388791,0.069,0.121,0.114421
0.450133,0.450133,0.450133,0.071,0.177,0.171693
0.401123,0.401123,0.401123,0.079,0.085,0.0524533
0.387637,0.387637,0.387637,0.168,0.178,0.0872402
0.405895,0.405895,0.405895,0.172183,0.186926,0.186917
0.395951,0.395951,0.395951,0.448523,0.978129,0.977095
0.427109,0.427109,0.427109,0.115942,1.9898,1.98642
0.352976,0.352976,0.352976,0.162453,0.567529,0.556703
0.404547,0.404547,0.404547,0.153741,0.324223,0.288011
0.35099,0.35099,0.35099,0.325892,0.427159,0.301258
0.357815,0.357815,0.357815,0.226554,0.2894,0.211061
0.39002,0.39002,0.39002,0.0945923,0.176785,0.15975
0.391584,0.391584,0.391584,0.0733523,0.107529,0.0942298
0.37158,0.37158,0.37158,0.108126,0.270646,0.263062
0.353265,0.353265,0.353265,0.136298,0.41591,0.411858
0.344818,0.344818,0.344818,0.143783,0.191545,0.191393
0.395511,0.395511,0.395511,0.0271891,0.169936,0.17032
0.39749,0.39749,0.39749,0.0232452,0.245353,0.245734
0.344864,0.344864,0.344864,0.150367,0.564443,0.574203
