tx,ty,tz,rx,ry,rz
2.16211,2.16211,2.16211,151.058,151.024,1.70376
1.70794,1.70794,1.70794,160.926,160.822,2.06762
1.7155,1.7155,1.7155,87.8253,87.8736,3.02108
1.974,1.974,1.974,88.0277,88.0223,0.983523
2.17608,2.17608,2.17608,88.168,88.1222,2.70798
2.0011,2.0011,2.0011,59.1238,59.1143,1.08048
1.26421,1.26421,1.26421,58.3587,58.328,2.14269
1.77492,1.77492,1.77492,89.4028,89.485,10.1965
1.93667,1.93667,1.93667,57.3993,57.4011,0.42566
2.26712,2.26712,2.26712,136.645,136.645,0.238156
9.90522,9.90522,9.90522,4.77618,8.08307,8.4641
1.87533,1.87533,1.87533,0.508083,0.48628,0.161617
1.28492,1.28492,1.28492,0.428489,0.387443,0.186364
1.73597,1.73597,1.73597,0.284542,0.862309,0.843717
2.25132,2.25132,2.25132,0.172378,0.252142,0.198337
2.00258,2.00258,2.00258,0.0611547,0.813131,0.811477
1.90778,1.90778,1.90778,0.169702,0.923165,0.914
1.90926,1.90926,1.90926,0.139258,0.160414,0.132462
1.96371,1.96371,1.96371,1.33683,1.0286,1.04899
2.30311,2.30311,2.30311,0.111365,0.260355,0.258239
1.21273,1.21273,1.21273,0.0638841,0.585048,0.585352
0.788978,0.788978,0.788978,0.0646603,0.2895,0.291379
1.19127,1.19127,1.19127,0.0590438,0.556156,0.557475
1.19127,1.19127,1.19127,3.46915,1.84003,2.95365
1.19127,1.19127,1.19127,1.17304,11.3483,11.3246
