Coarse,Kps,Proposed
0.194747,0.352398,0.319729,
0.258211,0.334861,0.36466,
0.206157,0.301759,0.309338,
0.188385,0.295091,0.311801,
0.215662,0.310278,0.285907,
0.249473,0.30861,0.314118,
0.296159,0.326777,0.347452,
0.332352,0.315095,0.371927,
0.361352,0.299359,0.332844,
0.413067,0.278424,0.306099,
0.373803,0.258798,0.299347,
0.288277,0.225987,0.187686,
0.168714,0.155254,0.129285,
0.165027,0.157695,0.152786,
0.17106,0.149021,0.149021,
0.16599,0.136638,0.136638,
0.156755,0.125313,0.125313,
0.225028,0.14623,0.14623,
0.20515,0.133994,0.133994,
0.236274,0.14307,0.131981,
0.240113,0.141783,0.12923,
0.226026,0.137351,0.117198,
0.17829,0.120769,0.121061,
0.171422,0.103868,0.12572,
0.175849,0.121851,0.0934171,
