Coarse,Kps,Proposed
0.273835,0.312171,0.228089
0.301775,0.326121,0.234563
0.248996,0.278913,0.22264
0.230102,0.260926,0.200476
0.24327,0.267121,0.233303
0.275778,0.273002,0.253852
0.296159,0.309289,0.281073
0.332352,0.315588,0.280301
0.361352,0.324238,0.268467
0.413067,0.333517,0.305725
0.373803,0.258798,0.227393
0.288277,0.225987,0.0924174
0.168714,0.155254,0.0818078
0.165027,0.157695,0.0891451
0.17106,0.149021,0.0902127
0.16599,0.136638,0.0868626
0.156755,0.125313,0.101866
0.225028,0.14623,0.097603
0.20515,0.133994,0.0867371
0.236274,0.14307,0.0706223
0.240113,0.141783,0.0605592
0.226026,0.137351,0.066532
0.17829,0.120769,0.0769218
0.171422,0.117302,0.103868
0.175849,0.121851,0.10713
