Coarse,Kps,Proposed
0.203835,0.233702,0.228089,
0.19167,0.232393,0.234563,
0.196141,0.218278,0.22264,
0.242825,0.226565,0.200476,
0.266026,0.258544,0.233303,
0.304673,0.284799,0.275778,
0.328769,0.299248,0.281732,
0.357704,0.304464,0.306886,
0.383529,0.307326,0.268467,
0.412076,0.307387,0.305725,
0.404527,0.282074,0.227393,
0.134737,0.136238,0.0924174,
0.123959,0.0901788,0.0818078,
0.147404,0.0955758,0.0891451,
0.163415,0.0902127,0.0902127,
0.179438,0.0805955,0.0868626,
0.199024,0.0951163,0.101866,
0.205808,0.097603,0.097603,
0.186497,0.0756886,0.0867371,
0.163285,0.0706223,0.0706223,
0.150887,0.0611189,0.0605592,
0.141273,0.066532,0.066532,
0.162091,0.0614747,0.0769218,
0.0769218,0.243226,0.117302,
0.117302,0.324001,0.328713,
