tx,ty,tz,rx,ry,rz
5.0964,5.0964,5.0964,5.86183,34.9842,35.1739
6.47822,6.47822,6.47822,176.213,69.3167,110.813
0.394115,0.394115,0.394115,177.127,81.0019,98.9814
0.571975,0.571975,0.571975,173.972,101.644,78.1465
0.355836,0.355836,0.355836,176.641,105.357,74.645
0.568031,0.568031,0.568031,168.81,110.754,69.7961
0.443246,0.443246,0.443246,177.778,128.86,51.1431
0.360545,0.360545,0.360545,176.496,133.513,46.5338
0.469634,0.469634,0.469634,179.098,145.044,34.9674
0.40849,0.40849,0.40849,177.156,152.953,27.1863
0.455852,0.455852,0.455852,179.37,162.085,17.9291
0.403343,0.403343,0.403343,176.571,169.728,10.8378
0.328148,0.328148,0.328148,93.6879,99.2219,43.1648
0.415393,0.415393,0.415393,0.891669,1.09755,0.681533
0.398893,0.398893,0.398893,3.67223,0.699342,3.62712
0.4186,0.4186,0.4186,0.502546,0.351388,0.560706
0.35452,0.35452,0.35452,3.3072,0.258663,3.31106
0.441177,0.441177,0.441177,0.638477,1.62352,1.64163
0.386283,0.386283,0.386283,3.26034,0.560025,3.30778
0.374776,0.374776,0.374776,3.17855,0.604435,3.2288
0.409446,0.409446,0.409446,0.203994,0.385882,0.400489
0.388417,0.388417,0.388417,0.748865,0.782473,0.748953
0.448263,0.448263,0.448263,0.042515,0.128322,0.134745
0.429311,0.429311,0.429311,1.23284,4.9514,5.10052
0.397577,0.397577,0.397577,0.326574,1.02795,0.986837
