tx,ty,tz,rx,ry,rz
5.0964,5.0964,5.0964,5.86183,34.9842,35.1739
6.47822,6.47822,6.47822,3.787,110.6833,110.813
0.321192,0.321192,0.321192,0.755,1.376,1.5214
0.351414,0.351414,0.351414,1.123,3.519,3.48755
0.391805,0.391805,0.391805,1.758,0.638,1.76946
0.355289,0.355289,0.355289,0.732,1.503,1.47309
0.322635,0.322635,0.322635,0.455,0.785,0.914185
0.352559,0.352559,0.352559,2.091,0.783,2.23807
0.223746,0.223746,0.223746,6.031,5.815,8.37458
0.338347,0.338347,0.338347,0.693,0.833,0.997374
0.455852,0.455852,0.455852,0.63,17.915,17.9291
0.403343,0.403343,0.403343,3.429,10.272,10.8378
0.328148,0.328148,0.328148,93.6879,99.2219,43.1648
0.415393,0.415393,0.415393,0.891669,1.09755,0.681533
0.398893,0.398893,0.398893,3.67223,0.699342,3.62712
0.4186,0.4186,0.4186,0.502546,0.351388,0.560706
0.35452,0.35452,0.35452,3.3072,0.258663,3.31106
0.441177,0.441177,0.441177,0.638477,1.62352,1.64163
0.386283,0.386283,0.386283,3.26034,0.560025,3.30778
0.374776,0.374776,0.374776,3.17855,0.604435,3.2288
0.409446,0.409446,0.409446,0.203994,0.385882,0.400489
0.388417,0.388417,0.388417,0.748865,0.782473,0.748953
0.448263,0.448263,0.448263,0.042515,0.128322,0.134745
0.429311,0.429311,0.429311,1.23284,4.9514,5.10052
0.397577,0.397577,0.397577,0.326574,1.02795,0.986837
