tx,ty,tz,rx,ry,rz
1.92733,1.92733,1.92733,179.328,175.645,4.3095
1.44302,1.44302,1.44302,178.738,179.258,1.42133
1.54965,1.54965,1.54965,175.894,179.551,4.08705
1.77764,1.77764,1.77764,177.418,177.298,3.71422
1.83016,1.83016,1.83016,174.082,174.261,7.67136
1.56542,1.56542,1.56542,165.808,172.75,14.652
0.99949,0.99949,0.99949,178.104,175.23,4.97313
1.51023,1.51023,1.51023,178.546,178.442,2.11341
1.95866,1.95866,1.95866,166.422,178.856,13.5395
2.28736,2.28736,2.28736,166.791,179.696,13.2136
10.8705,10.8705,10.8705,115.512,54.3123,107.438
1.84719,1.84719,1.84719,13.2378,3.69803,12.7278
1.27122,1.27122,1.27122,10.69,2.29552,10.4401
1.71943,1.71943,1.71943,10.3236,0.39248,10.3198
2.44203,2.44203,2.44203,0.433415,2.73651,2.7636
2.23238,2.23238,2.23238,3.05779,2.96229,4.24461
1.90993,1.90993,1.90993,10.9898,0.461961,10.9822
2.20934,2.20934,2.20934,5.87236,2.49064,6.35961
2.2427,2.2427,2.2427,4.7002,4.68193,6.4359
2.5238,2.5238,2.5238,1.03748,1.577,1.88478
1.25855,1.25855,1.25855,12.6343,1.65184,12.5443
0.8546,0.8546,0.8546,7.7035,11.0809,13.0551
1.44749,1.44749,1.44749,1.75088,0.0867168,1.7526
1.36245,1.36245,1.36245,2.13783,25.5658,25.4741
1.80645,1.80645,1.80645,22.7568,29.3489,37.3782
